male,2000,12,63.2%,32.67,11.00,50.610,16,84.2%,92.75,22.50,116.905,19,61.3%,156.11,64.00,184.875,,61,73.5%,41083.30,3000.00,93717.302,
,2001,420,33.9%,83.38,71.50,60.129,669,54.0%,155.95,148.00,109.023,1238,56.4%,352.16,328.00,268.565,,490,57.3%,132564.71,40000.00,176810.063,
,2002,3971,34.4%,82.22,72.00,59.451,6331,54.8%,154.69,144.00,108.524,11546,54.4%,354.84,317.00,278.889,,5397,53.5%,120555.83,37000.00,164866.593,
,2003,3820,40.5%,80.88,70.00,58.381,5843,62.0%,147.44,133.00,106.054,9427,55.4%,316.40,264.00,268.915,,6993,53.8%,119967.82,40000.00,162096.051,
,2004,4519,40.4%,82.76,73.00,58.034,6795,60.7%,146.80,131.00,104.869,11195,55.0%,325.85,270.00,278.192,,9893,53.4%,122281.97,44000.00,162463.410,
,2005,5522,40.2%,78.41,66.00,59.390,8218,59.8%,142.64,126.00,106.973,13751,55.6%,326.98,275.00,281.650,,12496,55.1%,121353.75,43000.00,161287.704,
,2006,5350,40.5%,81.20,70.50,57.912,7927,60.0%,143.60,125.00,104.552,13219,56.3%,328.63,271.00,282.546,,11155,56.1%,130977.46,49000.00,167042.505,
,2007,5410,37.8%,82.71,72.00,57.377,8230,57.4%,148.66,132.00,105.612,14329,56.5%,347.26,294.00,293.671,,11569,55.9%,99920.61,32565.00,144206.979,
,2008,5757,39.0%,80.61,70.00,57.407,8459,57.2%,142.20,124.00,104.442,14779,58.3%,350.39,288.00,301.809,,14140,57.3%,99841.24,32811.50,144383.490,
,2009,5935,38.0%,79.55,69.00,57.367,8784,56.3%,142.59,123.00,105.349,15613,58.9%,358.78,297.00,308.094,,14923,58.3%,98805.00,31115.00,144757.818,
,Total,40716,38.7%,80.95,70.00,58.143,61272,58.3%,145.80,129.00,105.838,105116,56.4%,340.22,285.00,288.817,,87117,55.8%,112337.05,37300.00,155461.492,
female,2000,4,33.3%,8.50,11.00,5.000,6,50.0%,113.00,11.00,162.707,12,38.7%,378.42,369.00,338.511,,22,26.5%,12328.18,360.00,27695.967,
,2001,217,22.7%,92.30,90.00,61.064,393,41.0%,175.61,183.00,106.832,958,43.6%,435.56,409.50,297.834,,365,42.7%,97900.07,19000.00,161415.322,
,2002,2141,22.1%,93.38,90.00,60.703,4170,43.1%,184.51,195.00,107.314,9671,45.6%,425.27,393.00,280.406,,4682,46.5%,73931.12,13000.00,134128.386,
,2003,2232,29.4%,89.21,85.00,60.053,3834,50.5%,166.23,167.00,105.772,7590,44.6%,386.73,345.00,286.651,,6004,46.2%,78657.11,14000.00,138904.588,
,2004,2496,27.2%,88.99,84.00,59.255,4454,48.6%,171.41,174.00,107.095,9171,45.0%,408.56,359.00,304.147,,8623,46.6%,80271.46,15000.00,139327.211,
,2005,3168,28.8%,84.05,75.00,61.156,5398,49.1%,163.64,163.00,109.359,11002,44.4%,404.04,356.00,310.826,,10175,44.9%,81471.43,15000.00,140782.924,
,2006,3055,29.8%,87.45,81.00,59.278,5056,49.3%,161.86,158.00,106.369,10261,43.7%,404.47,355.00,310.428,,8717,43.9%,87533.64,16000.00,147229.440,
,2007,2995,27.2%,89.46,84.00,59.030,5220,47.3%,168.86,168.00,106.217,11025,43.5%,416.06,368.00,309.641,,9115,44.1%,65437.65,11341.00,124264.203,
,2008,3056,28.9%,87.91,81.00,59.139,5005,47.4%,160.59,155.00,105.560,10568,41.7%,422.86,370.00,325.751,,10550,42.7%,67239.76,11731.00,126819.839,
,2009,3027,27.8%,86.11,77.00,58.748,5086,46.7%,162.60,160.00,106.842,10894,41.1%,432.81,374.00,332.300,,10690,41.7%,66472.71,11577.50,125579.543,
,Total,22391,27.6%,88.07,82.00,59.700,38622,47.6%,167.10,167.00,107.091,81152,43.6%,413.83,366.00,309.338,,68943,44.2%,74772.32,13186.00,134711.017,
Total,2000,16,51.6%,26.63,11.00,44.723,22,71.0%,98.27,11.00,127.084,31,100.0%,242.16,164.00,273.203,,83,100.0%,33461.46,2400.00,82377.295,
,2001,637,29.0%,86.42,79.00,60.550,1062,48.4%,163.23,159.50,108.583,2196,100.0%,388.54,360.50,284.664,,855,100.0%,117766.36,28000.00,171172.993,
,2002,6112,28.8%,86.13,78.00,60.124,10501,49.5%,166.53,165.00,109.021,21217,100.0%,386.94,352.00,281.767,,10079,100.0%,98897.24,23000.00,153134.817,
,2003,6052,35.6%,83.95,76.00,59.135,9677,56.9%,154.88,146.00,106.335,17017,100.0%,347.77,300.00,279.156,,12997,100.0%,100884.22,25500.00,153208.598,
,2004,7015,34.4%,84.98,77.00,58.543,11249,55.2%,156.55,148.00,106.434,20366,100.0%,363.09,313.00,293.063,,18516,100.0%,102717.45,27126.00,153559.811,
,2005,8690,35.1%,80.46,69.00,60.097,13616,55.0%,150.97,140.00,108.409,24753,100.0%,361.23,313.00,297.443,,22671,100.0%,103454.11,28000.00,153708.612,
,2006,8405,35.8%,83.47,74.00,58.485,12983,55.3%,150.71,137.00,105.635,23480,100.0%,361.77,308.00,297.437,,19872,100.0%,111920.50,31200.00,160110.427,
,2007,8405,33.2%,85.12,76.00,58.058,13450,53.0%,156.50,147.00,106.300,25354,100.0%,377.18,327.00,302.642,,20684,100.0%,84724.70,21246.50,136851.999,
,2008,8813,34.8%,83.14,74.00,58.114,13464,53.1%,149.04,135.50,105.231,25347,100.0%,380.61,323.00,314.048,,24690,100.0%,85910.68,22065.50,138096.363,
,2009,8962,33.8%,81.77,71.00,57.917,13870,52.3%,149.92,136.00,106.333,26507,100.0%,389.21,331.00,320.337,,25613,100.0%,85310.60,21389.00,138001.678,
,Total,63107,33.9%,83.47,74.00,58.798,99894,53.6%,154.04,144.00,106.829,186268,100.0%,372.29,322.00,300.158,,156060,100.0%,95741.99,24396.50,147838.188,
age,year,N,%,Mean,Median,Std. Deviation,N,%,Mean,Median,Std. Deviation,N,%,Mean,Median,Std. Deviation,,N,%,Mean,Median,Std. Deviation,
13-21 years old,2000,1,100.0%,1.00,1.00,.,1,100.0%,1.00,1.00,.,1,3.2%,1.00,1.00,.,,3,3.6%,3333.33,3000.00,3511.885,
,2001,22,15.0%,88.77,77.50,68.139,51,34.7%,200.04,222.00,112.485,147,6.7%,477.58,443.00,283.866,,63,7.4%,92846.78,13000.00,173416.929,
,2002,191,13.2%,89.49,75.00,64.871,451,31.1%,203.29,235.00,110.780,1451,6.8%,506.70,476.00,290.939,,698,6.9%,59777.04,10000.00,119271.991,
,2003,182,14.6%,89.45,85.50,63.638,431,34.5%,199.63,224.00,108.404,1250,7.3%,484.28,449.00,290.998,,1041,8.0%,62196.18,11800.00,120054.892,
,2004,204,13.6%,82.13,72.00,65.116,476,31.6%,195.35,220.00,111.861,1504,7.4%,515.73,471.00,317.954,,1401,7.6%,59551.27,13000.00,113167.278,
,2005,245,14.6%,82.54,69.00,67.192,490,29.1%,179.75,200.00,112.147,1681,6.8%,516.14,485.00,312.202,,1539,6.8%,58807.49,11391.00,116582.830,
,2006,226,13.2%,78.41,65.50,59.920,473,27.5%,185.96,213.00,115.132,1717,7.3%,536.67,512.00,313.667,,1481,7.5%,60602.14,11381.00,118453.106,
,2007,262,14.0%,90.02,88.00,62.358,520,27.8%,185.03,196.50,109.997,1873,7.4%,536.61,486.00,325.825,,1605,7.8%,43617.70,8600.00,95443.226,
,2008,258,13.3%,88.27,82.00,60.812,515,26.5%,186.06,198.00,111.310,1945,7.7%,550.74,509.00,329.304,,1919,7.8%,42208.57,8594.00,92006.135,
,2009,264,13.0%,88.25,81.00,62.279,541,26.6%,188.13,204.00,111.430,2035,7.7%,564.17,524.00,334.991,,1989,7.8%,42942.85,8351.00,93060.963,
,Total,1855,13.6%,86.08,77.00,63.277,3949,29.0%,190.12,211.00,111.596,13604,7.3%,529.24,491.00,317.431,,11739,7.5%,52171.03,9987.00,107408.534,
22-50 years old,2000,15,51.7%,28.33,11.00,45.749,21,72.4%,102.90,11.00,128.305,29,93.5%,236.17,164.00,267.789,,69,83.1%,37650.45,2800.00,89279.097,
,2001,566,29.7%,86.49,78.50,60.326,931,48.8%,161.50,157.00,107.958,1906,86.8%,385.38,357.00,286.444,,754,88.2%,118211.91,29000.00,169469.437,
,2002,5451,29.5%,85.97,78.00,60.133,9318,50.4%,165.70,164.00,108.854,18482,87.1%,380.47,347.00,278.786,,8759,86.9%,100845.60,24000.00,154380.666,
,2003,5298,36.3%,83.77,76.00,58.955,8435,57.8%,154.05,145.00,105.997,14596,85.8%,341.04,293.00,274.948,,11067,85.2%,102104.99,26000.00,153697.643,
,2004,6125,35.4%,84.86,76.00,58.385,9717,56.2%,155.17,145.00,106.127,17290,84.9%,355.37,305.00,288.136,,15707,84.8%,104125.94,28000.00,154434.031,
,2005,7508,35.6%,79.73,68.00,60.029,11763,55.8%,150.58,140.00,108.793,21068,85.1%,355.84,307.00,295.107,,19268,85.0%,104376.60,28845.00,154194.811,
,2006,7224,36.6%,83.14,73.00,58.388,11130,56.4%,150.19,136.00,105.676,19739,84.1%,354.00,300.00,293.402,,16670,83.9%,113511.54,32791.50,160930.195,
,2007,7053,33.6%,84.60,75.00,57.914,11288,53.8%,156.18,146.00,106.468,20977,82.7%,371.39,322.00,298.920,,17108,82.7%,85458.12,21584.00,137425.292,
,2008,7385,35.6%,81.97,72.00,58.018,11224,54.1%,147.52,132.00,105.351,20741,81.8%,372.90,314.00,310.402,,20217,81.9%,87304.79,23095.00,139177.664,
,2009,7423,34.4%,81.29,70.00,57.843,11475,53.1%,149.43,135.00,106.401,21602,81.5%,383.04,324.00,317.410,,20941,81.8%,85925.62,21996.00,138207.527,
,Total,54048,34.6%,83.01,73.00,58.719,85302,54.5%,153.34,142.00,106.861,156430,84.0%,365.52,316.00,296.425,,130560,83.7%,97046.04,25173.00,148664.054,
above 51,2000,0,0.0%,,,,0,0.0%,,,,1,3.2%,657.00,657.00,.,,11,13.3%,15401.82,720.00,26259.917,
,2001,49,34.3%,84.47,81.00,60.861,80,55.9%,159.79,155.00,110.514,143,6.5%,339.10,325.00,241.245,,38,4.4%,150239.63,50000.00,198125.818,
,2002,470,36.6%,86.56,83.50,58.068,732,57.0%,154.50,140.50,105.631,1284,6.1%,344.75,304.00,281.145,,622,6.2%,115360.72,28000.00,162575.735,
,2003,572,48.8%,83.85,75.00,59.341,811,69.3%,139.81,122.00,102.697,1171,6.9%,286.00,207.00,275.038,,889,6.8%,130990.01,40000.00,172003.502,
,2004,686,43.6%,86.81,84.00,57.929,1056,67.2%,151.76,140.00,103.426,1572,7.7%,302.06,237.00,276.180,,1408,7.6%,129956.58,46000.00,169436.350,
,2005,937,46.8%,85.76,79.00,58.453,1363,68.0%,143.91,130.00,102.001,2004,8.1%,287.95,218.00,264.120,,1864,8.2%,130780.67,49148.50,167287.508,
,2006,955,47.2%,87.15,82.00,58.763,1380,68.2%,142.88,129.00,99.489,2024,8.6%,289.18,218.50,267.547,,1721,8.7%,140671.19,57000.00,173148.462,
,2007,1090,43.5%,87.33,80.00,57.870,1642,65.6%,149.65,136.00,102.510,2504,9.9%,306.41,241.50,274.265,,1971,9.5%,111832.46,38685.00,151978.371,
,2008,1170,44.0%,89.43,84.00,57.700,1725,64.8%,147.85,137.00,100.517,2661,10.5%,316.31,233.00,288.989,,2554,10.3%,107711.57,35662.00,150839.669,
,2009,1275,44.4%,83.22,75.00,57.354,1854,64.6%,141.85,124.00,102.048,2870,10.8%,311.59,238.00,286.188,,2683,10.5%,111919.00,36286.00,155786.440,
,Total,7204,44.4%,86.32,80.00,58.107,10643,65.6%,146.26,132.00,102.102,16234,8.7%,305.97,236.00,277.746,,13761,8.8%,120538.33,41000.00,161518.927,
Total,2000,16,51.6%,26.63,11.00,44.723,22,71.0%,98.27,11.00,127.084,31,100.0%,242.16,164.00,273.203,,83,100.0%,33461.46,2400.00,82377.295,
,2001,637,29.0%,86.42,79.00,60.550,1062,48.4%,163.23,159.50,108.583,2196,100.0%,388.54,360.50,284.664,,855,100.0%,117766.36,28000.00,171172.993,
,2002,6112,28.8%,86.13,78.00,60.124,10501,49.5%,166.53,165.00,109.021,21217,100.0%,386.94,352.00,281.767,,10079,100.0%,98897.24,23000.00,153134.817,
,2003,6052,35.6%,83.95,76.00,59.135,9677,56.9%,154.88,146.00,106.335,17017,100.0%,347.77,300.00,279.156,,12997,100.0%,100884.22,25500.00,153208.598,
,2004,7015,34.4%,84.98,77.00,58.543,11249,55.2%,156.55,148.00,106.434,20366,100.0%,363.09,313.00,293.063,,18516,100.0%,102717.45,27126.00,153559.811,
,2005,8690,35.1%,80.46,69.00,60.097,13616,55.0%,150.97,140.00,108.409,24753,100.0%,361.23,313.00,297.443,,22671,100.0%,103454.11,28000.00,153708.612,
,2006,8405,35.8%,83.47,74.00,58.485,12983,55.3%,150.71,137.00,105.635,23480,100.0%,361.77,308.00,297.437,,19872,100.0%,111920.50,31200.00,160110.427,
,2007,8405,33.2%,85.12,76.00,58.058,13450,53.0%,156.50,147.00,106.300,25354,100.0%,377.18,327.00,302.642,,20684,100.0%,84724.70,21246.50,136851.999,
,2008,8813,34.8%,83.14,74.00,58.114,13464,53.1%,149.04,135.50,105.231,25347,100.0%,380.61,323.00,314.048,,24690,100.0%,85910.68,22065.50,138096.363,
,2009,8962,33.8%,81.77,71.00,57.917,13870,52.3%,149.92,136.00,106.333,26507,100.0%,389.21,331.00,320.337,,25613,100.0%,85310.60,21389.00,138001.678,
,Total,63107,33.9%,83.47,74.00,58.798,99894,53.6%,154.04,144.00,106.829,186268,100.0%,372.29,322.00,300.158,,156060,100.0%,95741.99,24396.50,147838.188,
region,year,N,%,Mean,Median,Std. Deviation,N,%,Mean,Median,Std. Deviation,N,%,Mean,Median,Std. Deviation,,N,%,Mean,Median,Std. Deviation,
Central,2000,0,,,,,0,,,,,0,,,,,,0,,,,,
,2001,76,32.5%,68.89,49.00,60.557,114,48.7%,136.56,110.00,110.661,234,10.7%,368.37,354.50,287.322,,341,39.9%,120374.17,27000.00,175826.058,
,2002,757,37.3%,76.38,61.00,59.547,1174,57.8%,147.85,132.50,110.775,2032,9.6%,339.01,296.00,282.031,,2041,20.3%,113459.77,31000.00,163562.665,
,2003,727,39.8%,80.84,72.00,59.439,1107,60.7%,147.11,132.00,106.705,1825,10.7%,320.59,268.00,267.285,,1974,15.2%,108963.58,29913.50,157749.691,
,2004,712,40.4%,85.27,76.00,57.902,1074,61.0%,148.56,135.00,103.808,1762,8.7%,332.71,269.00,287.154,,1783,9.6%,115449.99,35706.00,159922.111,
,2005,701,38.5%,82.99,69.00,59.473,1048,57.6%,144.14,134.00,102.810,1821,7.4%,345.61,280.00,297.586,,1747,7.7%,112629.32,33000.00,160880.466,
,2006,643,40.1%,77.88,68.00,57.033,936,58.4%,139.76,115.50,106.090,1603,6.8%,339.68,284.00,294.090,,1451,7.3%,116337.18,38423.00,159387.611,
,2007,583,33.6%,81.08,67.00,58.389,915,52.7%,150.57,140.00,106.386,1736,6.8%,385.03,328.00,319.093,,1516,7.3%,90424.01,26925.00,139044.654,
,2008,592,37.4%,81.31,74.00,56.130,879,55.5%,143.86,126.00,103.820,1584,6.2%,363.04,299.50,312.574,,1689,6.8%,98880.43,27175.00,148945.589,
,2009,648,36.5%,76.56,64.50,57.535,938,52.8%,137.49,115.50,105.592,1777,6.7%,384.09,325.00,329.845,,1771,6.9%,103088.12,28090.00,152621.192,
,Total,5439,37.8%,80.13,69.00,58.350,8185,56.9%,144.97,129.00,105.982,14374,7.7%,351.07,294.00,299.314,,14313,9.2%,107999.02,30751.00,156550.081,
Northeast,2000,0,,,,,0,,,,,0,,,,,,0,,,,,
,2001,111,33.7%,84.41,76.00,55.591,185,56.2%,163.04,154.00,109.298,329,15.0%,349.36,310.00,254.843,,120,14.0%,137271.81,60500.00,175615.006,
,2002,569,31.9%,81.09,73.00,58.064,921,51.6%,155.85,142.00,108.906,1785,8.4%,373.78,341.00,287.014,,1040,10.3%,116292.89,30000.00,165422.914,
,2003,598,39.5%,79.88,68.00,59.542,924,61.1%,148.06,138.00,107.090,1513,8.9%,316.79,269.00,265.310,,1332,10.2%,128279.77,39400.00,171180.625,
,2004,1093,35.3%,81.15,71.00,57.971,1762,56.9%,154.43,142.50,107.600,3098,15.2%,350.34,300.00,281.403,,3361,18.2%,121085.41,36000.00,165160.174,
,2005,1633,39.8%,81.62,71.00,58.473,2440,59.4%,145.92,129.00,106.255,4105,16.6%,329.70,280.00,278.813,,3581,15.8%,129586.09,46100.00,168595.728,
,2006,1689,41.9%,76.43,63.00,56.712,2445,60.7%,136.88,114.00,104.655,4027,17.2%,325.74,261.00,292.355,,3601,18.1%,136035.97,49000.00,173218.159,
,2007,1601,41.1%,79.16,67.00,57.356,2327,59.7%,139.72,119.00,104.591,3900,15.4%,332.26,270.00,295.029,,3161,15.3%,91132.02,22722.00,142774.750,
,2008,1734,44.0%,75.16,61.00,56.054,2452,62.2%,132.87,106.50,103.898,3943,15.6%,316.05,248.00,289.934,,4573,18.5%,90920.88,23191.00,143730.037,
,2009,1796,40.7%,74.09,59.00,56.766,2555,57.9%,133.46,105.00,105.657,4416,16.7%,347.49,280.00,317.323,,5212,20.3%,88930.12,22839.00,141322.676,
,Total,10824,39.9%,78.02,65.00,57.381,16011,59.0%,141.48,121.00,105.994,27116,14.6%,335.17,278.00,291.560,,25981,16.6%,109176.73,30805.00,157609.541,
North,2000,0,,,,,0,,,,,0,,,,,,0,,,,,
,2001,78,35.0%,91.74,87.00,61.535,122,54.7%,160.52,159.50,107.313,223,10.2%,340.72,318.00,243.479,,227,26.5%,123133.98,32000.00,174665.883,
,2002,221,38.6%,85.40,74.00,61.119,353,61.6%,157.96,153.00,108.706,573,2.7%,302.93,278.00,226.530,,656,6.5%,116108.44,34000.00,160915.161,
,2003,259,38.7%,86.15,80.00,58.650,405,60.4%,153.15,142.00,104.413,670,3.9%,314.47,278.00,250.040,,743,5.7%,124183.20,38000.00,169797.838,
,2004,455,43.5%,84.00,75.00,59.127,693,66.2%,149.06,140.00,105.082,1047,5.1%,290.31,241.00,250.523,,1098,5.9%,121686.18,42000.00,165274.535,
,2005,573,44.9%,82.24,73.00,59.126,850,66.6%,143.73,131.50,104.008,1276,5.2%,281.86,230.00,243.067,,1301,5.7%,115355.96,35000.00,161601.376,
,2006,674,42.4%,78.49,64.50,58.993,983,61.9%,138.96,121.00,104.611,1588,6.8%,319.77,252.50,285.283,,1332,6.7%,114375.01,33000.00,161913.485,
,2007,657,38.6%,83.76,78.00,59.308,1027,60.3%,152.00,140.00,105.708,1702,6.7%,321.64,276.00,262.435,,1323,6.4%,85670.34,24495.00,133115.685,
,2008,845,40.2%,82.44,72.00,58.444,1289,61.3%,147.98,132.00,105.166,2104,8.3%,313.85,269.00,256.153,,2055,8.3%,88991.97,25181.00,139922.362,
,2009,904,38.3%,85.18,76.50,57.388,1361,57.7%,148.65,135.00,104.138,2359,8.9%,343.45,286.00,282.262,,2314,9.0%,82331.50,22166.00,134512.751,
,Total,4666,40.4%,83.22,73.00,58.789,7083,61.4%,148.05,135.00,105.059,11542,6.2%,316.20,266.00,263.573,,11049,7.1%,101290.54,28290.00,151206.708,
Southeast,2000,4,23.5%,88.50,78.00,55.627,9,52.9%,203.22,233.00,117.833,17,54.8%,399.00,347.00,265.630,,81,97.6%,33398.78,1700.00,83351.090,
,2001,328,26.2%,85.86,81.00,61.113,568,45.3%,166.80,167.00,109.114,1254,57.1%,409.80,379.50,298.869,,163,19.1%,92420.94,20000.00,152053.978,
,2002,3131,28.1%,87.08,80.00,60.839,5391,48.4%,167.40,168.00,108.948,11140,52.5%,399.25,359.00,292.189,,3355,33.3%,92607.55,22000.00,148290.902,
,2003,3025,35.5%,83.26,72.00,59.374,4766,56.0%,152.79,145.00,106.560,8515,50.0%,356.93,306.00,289.229,,4546,35.0%,89446.65,22000.00,142567.964,
,2004,3393,33.2%,85.93,78.00,58.687,5452,53.4%,157.51,149.00,106.295,10209,50.1%,376.65,326.00,301.911,,7785,42.0%,93632.79,24320.00,146298.805,
,2005,3998,31.5%,83.44,73.00,59.092,6521,51.4%,158.14,150.00,108.183,12683,51.2%,385.92,339.00,304.189,,11421,50.4%,94477.80,23615.00,146732.745,
,2006,3842,35.3%,84.26,75.00,58.896,5947,54.6%,151.83,140.00,105.882,10885,46.4%,368.14,313.00,302.999,,8766,44.1%,110086.30,31098.50,158682.865,
,2007,3380,34.3%,82.96,72.00,57.336,5244,53.3%,151.39,135.50,106.265,9840,38.8%,379.49,325.00,313.939,,7846,37.9%,89815.09,24726.50,140554.118,
,2008,3505,32.5%,82.41,72.00,58.459,5411,50.1%,150.32,137.00,106.528,10791,42.6%,401.67,348.00,323.898,,9896,40.1%,84927.44,23019.50,135975.749,
,2009,3581,32.3%,81.26,71.00,58.548,5623,50.7%,151.66,139.00,107.450,11091,41.8%,401.57,343.00,325.492,,9901,38.7%,83825.58,21943.00,134756.536,
,Total,28187,32.6%,83.80,74.00,58.929,44932,52.0%,155.35,146.00,107.203,86425,46.4%,385.04,334.00,307.576,,63760,40.9%,92270.38,24000.00,144200.535,
South,2000,12,85.7%,6.00,6.00,5.222,13,92.9%,25.62,11.00,70.901,14,45.2%,51.71,11.00,119.065,,2,2.4%,36000.00,36000.00,25455.844,
,2001,44,28.2%,116.45,133.50,56.676,73,46.8%,182.05,172.00,96.349,156,7.1%,398.94,379.00,260.970,,4,0.5%,38500.00,2000.00,74357.246,
,2002,1434,25.2%,91.30,89.00,58.832,2662,46.8%,177.84,184.00,107.009,5687,26.8%,392.55,370.00,260.097,,2987,29.6%,86174.71,17000.00,142988.311,
,2003,1443,32.1%,88.27,84.00,58.198,2475,55.1%,165.22,163.00,105.089,4494,26.4%,356.85,314.00,271.260,,4402,33.9%,96850.72,22459.50,151477.181,
,2004,1362,32.0%,85.83,81.00,58.736,2268,53.4%,161.94,155.00,107.198,4250,20.9%,370.35,325.00,288.123,,4489,24.2%,95023.00,21949.00,149323.624,
,2005,1785,36.7%,71.18,56.00,63.404,2757,56.6%,143.29,135.00,113.113,4868,19.7%,350.15,299.00,300.664,,4621,20.4%,98569.14,25000.00,150772.428,
,2006,1557,29.0%,93.63,91.00,58.250,2672,49.7%,169.04,169.00,103.377,5377,22.9%,394.86,351.00,289.626,,4722,23.8%,94885.53,20900.00,149431.361,
,2007,2184,26.7%,94.32,91.00,58.208,3937,48.2%,175.78,176.00,104.765,8176,32.2%,405.72,364.00,292.475,,6838,33.1%,74475.52,15616.50,129210.673,
,2008,2137,30.9%,91.61,88.00,58.572,3433,49.6%,160.28,154.00,103.005,6925,27.3%,408.84,353.00,319.584,,6477,26.2%,79515.82,18508.00,133303.355,
,2009,2033,29.6%,89.60,83.00,57.111,3393,49.4%,163.39,159.00,104.055,6864,25.9%,413.12,353.00,319.609,,6415,25.0%,80828.57,17161.00,136801.606,
,Total,13991,29.9%,88.42,83.00,59.358,23683,50.6%,164.95,162.00,106.248,46811,25.1%,390.61,345.00,296.004,,40957,26.2%,86843.89,19210.00,141940.677,
Total,2000,16,51.6%,26.63,11.00,44.723,22,71.0%,98.27,11.00,127.084,31,100.0%,242.16,164.00,273.203,,83,100.0%,33461.46,2400.00,82377.295,
,2001,637,29.0%,86.42,79.00,60.550,1062,48.4%,163.23,159.50,108.583,2196,100.0%,388.54,360.50,284.664,,855,100.0%,117766.36,28000.00,171172.993,
,2002,6112,28.8%,86.13,78.00,60.124,10501,49.5%,166.53,165.00,109.021,21217,100.0%,386.94,352.00,281.767,,10079,100.0%,98897.24,23000.00,153134.817,
,2003,6052,35.6%,83.95,76.00,59.135,9677,56.9%,154.88,146.00,106.335,17017,100.0%,347.77,300.00,279.156,,12997,100.0%,100884.22,25500.00,153208.598,
,2004,7015,34.4%,84.98,77.00,58.543,11249,55.2%,156.55,148.00,106.434,20366,100.0%,363.09,313.00,293.063,,18516,100.0%,102717.45,27126.00,153559.811,
,2005,8690,35.1%,80.46,69.00,60.097,13616,55.0%,150.97,140.00,108.409,24753,100.0%,361.23,313.00,297.443,,22671,100.0%,103454.11,28000.00,153708.612,
,2006,8405,35.8%,83.47,74.00,58.485,12983,55.3%,150.71,137.00,105.635,23480,100.0%,361.77,308.00,297.437,,19872,100.0%,111920.50,31200.00,160110.427,
,2007,8405,33.2%,85.12,76.00,58.058,13450,53.0%,156.50,147.00,106.300,25354,100.0%,377.18,327.00,302.642,,20684,100.0%,84724.70,21246.50,136851.999,
,2008,8813,34.8%,83.14,74.00,58.114,13464,53.1%,149.04,135.50,105.231,25347,100.0%,380.61,323.00,314.048,,24690,100.0%,85910.68,22065.50,138096.363,
,2009,8962,33.8%,81.77,71.00,57.917,13870,52.3%,149.92,136.00,106.333,26507,100.0%,389.21,331.00,320.337,,25613,100.0%,85310.60,21389.00,138001.678,
,Total,63107,33.9%,83.47,74.00,58.798,99894,53.6%,154.04,144.00,106.829,186268,100.0%,372.29,322.00,300.158,,156060,100.0%,95741.99,24396.50,147838.188,
